longitude	latitude	speed
-122.609285	45.562778	11.6
-122.608585	45.562778	10.8
-122.607863	45.562782	11.2
-122.607113	45.562783	11.6
-122.606283	45.562782	12.6
-122.605427	45.562783	13.4
-122.6261	45.562773	11.829629629629629
-122.626822	45.56277	11.2
-122.627562	45.562763	11.4
-122.62828	45.562755	11.2
-122.634885	45.559168	6.201388888888889
-122.634885	45.55933	3.2
-122.634883	45.55951	4
-122.634878	45.559668	3.4
-122.634892	45.55982	3.2
-122.634893	45.5601	6
-122.6349	45.560355	5.8
-122.634903	45.560413	1.6
-122.634908	45.560582	3
-122.63492	45.560927	7.4
-122.634917	45.561255	7.4
-122.634945	45.561522	6
-122.634965	45.56174	4.6
-122.658623	45.559138	3.892988929889299
-122.634973	45.56204	3.9140767824497256
-122.634968	45.562618	6.4
-122.63484	45.562727	3.4
-122.6348	45.56273	0.8
-122.63461	45.562722	2.6
-122.634103	45.562722	9.5
-122.633547	45.562725	8.4
-122.632945	45.562727	9.4
-122.632307	45.56272	9.8
-122.631688	45.562727	9.6
-122.631108	45.562737	9
-122.630603	45.562745	8
-122.630122	45.562747	7.4
-122.629622	45.562742	7.6
-122.634983	45.562362	6.984375
-122.604607	45.562785	10.384279475982533
-122.659107	45.559137	5.840966921119593
-122.660135	45.559135	7.9
-122.693323	45.557337	4.689612015018773
-122.693445	45.558017	15.2
-122.69365	45.558683	15
-122.64759	45.559095	7.680244399185336
-122.602118	45.562787	7.7844311377245505
-122.578687	45.547383	4.914414414414415
-122.578698	45.546973	9
-122.602955	45.562785	5.582894736842105
-122.584957	45.56274	5.033333333333333
-122.584262	45.56274	10.8
-122.583605	45.56274	10
-122.582825	45.562742	12
-122.581927	45.562742	14
-122.581017	45.562745	14
-122.580162	45.562743	13
-122.579427	45.562737	11.4
-122.578823	45.56276	9.4
-122.578498	45.562613	6.2
-122.578492	45.562395	4.8
-122.578492	45.562352	0.26666666666666666
-122.578495	45.56231	1
-122.578497	45.5621	4.6
-122.578498	45.56169	9
-122.578497	45.56118	11.4
-122.578495	45.560668	11.2
-122.578505	45.560223	9.6
-122.57851	45.559917	6.6
-122.57851	45.55987	1.6666666666666667
-122.57851	45.55987	0
-122.57851	45.55982	1.2
-122.578515	45.559573	5.4
-122.5785	45.559203	8.2
-122.578478	45.558835	8
-122.57849	45.558383	8
-122.578495	45.557917	12.2
-122.585692	45.56274	7.678571428571429
-122.586402	45.562738	11
-122.587082	45.562737	10.4
-122.587725	45.562737	10
-122.601365	45.562787	5.104132231404959
-122.600573	45.562807	1.05
-122.600068	45.562788	7.6
-122.59935	45.562783	11
-122.598588	45.562782	11.8
-122.597787	45.562778	12.4
-122.597023	45.562773	11.8
-122.596307	45.56277	11
-122.595628	45.562765	10.4
-122.594982	45.562762	10
-122.594452	45.56276	8.2
-122.594012	45.562752	7
-122.578508	45.557413	7.4
-122.593758	45.562743	7.476595744680851
-122.59349	45.562738	2.1
-122.593033	45.562733	6.8
-122.592473	45.562728	8.8
-122.591922	45.562725	8.4
-122.5914	45.56273	8.2
-122.591048	45.562842	6
-122.590692	45.56285	5.6
-122.590552	45.562825	2.2
-122.590552	45.562825	0
-122.590492	45.562815	1.25
-122.590157	45.562777	5
-122.589567	45.562758	9.2
-122.588387	45.562737	9.1
-122.593733	45.562742	6.4
-122.578515	45.5569	7.706382978723404
-122.578537	45.555907	4.681058495821727
-122.578527	45.556393	4.891044776119403
-122.578545	45.555038	4.7596491228070175
-122.578542	45.555222	4
-122.578548	45.554918	4.785486725663717
-122.578557	45.554647	4.6
-122.578568	45.553817	8.9
-122.578572	45.553068	3.48
-122.578582	45.552847	4.2
-122.57859	45.552518	7.2
-122.5786	45.552243	6.4
-122.578603	45.552155	0.23636363636363636
-122.578607	45.55204	1.8
-122.578612	45.551727	6.6
-122.578622	45.551318	8.8
-122.578563	45.554258	2.8086956521739133
-122.578633	45.55045	3.344
-122.578627	45.550898	9.8
-122.57868	45.547763	4.954771943273284
-122.578672	45.547907	2.4
-122.578667	45.54849	4.826022304832714
-122.578658	45.548882	8.4
-122.578652	45.549245	8
-122.578647	45.549607	8
-122.578642	45.550008	9
-122.673885	45.562712	8.4
-122.672652	45.56272	5.439353099730458
-122.672025	45.562722	9.8
-122.671417	45.562723	9.4
-122.670875	45.562725	8.4
-122.670295	45.562723	8.8
-122.669685	45.562727	9.4
-122.669148	45.562728	8.4
-122.676243	45.562697	4.765217391304348
-122.603792	45.562787	5.224137931034483
-122.579145	45.52151	5.725264169068204
-122.579267	45.456452	2.2666666666666666
-122.579147	45.461893	4.4222222222222225
-122.579253	45.456717	4.376923076923077
-122.579212	45.457352	7.1
-122.579212	45.457375	0.06666666666666667
-122.57921	45.457555	3.8
-122.579207	45.45783	6
-122.579202	45.458515	2.1714285714285713
-122.579193	45.458825	6.6
-122.579178	45.459392	12.4
-122.579168	45.460065	14.6
-122.579222	45.457085	2.963636363636364
-122.572943	45.437385	4.2988505747126435
-122.573022	45.437392	1
-122.573425	45.43736	0.6888888888888889
-122.694853	45.560902	4.987623762376238
-122.69507	45.561302	9.2
-122.695302	45.561677	9.2
-122.695552	45.56204	8.8
-122.695623	45.562405	8
-122.695625	45.56266	5.2
-122.695552	45.562735	1.8
-122.695432	45.562765	1.6
-122.69463	45.560463	6.775
-122.695277	45.56277	6.288888888888889
-122.694362	45.562758	1.565217391304348
-122.693663	45.562758	10.8
-122.69304	45.56276	9.4
-122.692767	45.562737	3.6
-122.691847	45.562745	3.75
-122.579	45.438617	5.097421203438396
-122.578995	45.438713	1.8
-122.57899	45.438985	5.8
